geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
radial_spokes,Ni63,20.0,2.0,100.0,2,0.75,2.2840408053690875,28.339177616030636,64084445535128.07,0.23077909346346442,0.07935658755287836,0.8202936336974697,0.15060099647979777,3.155322891915246e-09,0.3155322891915246,9.956062552244391e-10,2.554080495233137,0.0008951046522837337,0.3299999999999999,3.7316363660629985,geometric_occlusion,0.3118758893398504
radial_spokes,Ni63,20.0,6.0,25.0,1,0.75,2.3732824999999997,6.005,10983312500000.0,0.19483739637401484,0.07839768119532942,0.8103401583732419,0.22493928239143826,4.712824507213023e-09,0.4712824507213023,2.2210714835787676e-09,5.697830166252061,0.0008674213227988097,0.5527821428571428,3.1250999999999998,graphene_diamond_interface,0.19483739637401484
radial_spokes,Ni63,20.0,6.0,25.0,2,0.75,2.5663913083893086,9.422855015739977,17079710026040.809,0.2024316987664011,0.07850823611709509,0.7848215117166327,0.2099223004951334,4.39819560134623e-09,0.439819560134623,1.9344124547701323e-09,4.96244885419154,0.0008694455680883502,0.4315143176210431,3.275528168126665,carrier_travel_recombination,0.21517848828336728
radial_spokes,Ni63,20.0,6.0,100.0,1,0.75,2.3741299999999996,6.02,14008250000000.0,0.1937788697344728,0.07845255198546394,0.8101115607036022,0.22631828341212792,4.7417167030833226e-09,0.47417167030833224,2.2483877292299374e-09,5.767905951588426,0.0008706175372160514,0.6096999999999999,3.1404,graphene_diamond_interface,0.1937788697344728
radial_spokes,Ni63,20.0,6.0,100.0,2,0.75,2.5677211784352436,9.446392538676879,21361481845042.695,0.20092957379788876,0.0785858113094637,0.7844783500253605,0.2114034671239753,4.429228324103497e-09,0.44292283241034974,1.9618063547040677e-09,5.032723850097287,0.0008739813234880043,0.4883041119198467,3.2972121220209996,carrier_travel_recombination,0.21552164997463952
honeycomb_mesh,Ni63,20.0,2.0,25.0,1,0.75,2.04074,27.773125,67808859375000.01,0.23462701492963783,0.0794235012251669,0.853423618684787,0.15524266180173668,3.25257293135232e-09,0.325257293135232,1.0579230673765824e-09,2.7139450537447916,0.0008861594309644473,0.1328571428571429,4.5785875,geometric_occlusion,0.298446875
honeycomb_mesh,Ni63,20.0,2.0,25.0,2,0.75,2.5465825423295168,43.580704447797395,105686840344714.64,0.25479058705578256,0.08010149918386511,0.7838626648295764,0.09158367988535714,1.9188191872745653e-09,0.19188191872745652,3.681867073453023e-10,0.9445285050190436,0.0008983106853509447,0.06285714285714289,4.984317777585826,geometric_occlusion,0.5363268618073511
honeycomb_mesh,Ni63,20.0,2.0,100.0,1,0.75,2.04296,27.8425,81841687500000.02,0.2292989800340759,0.07967521785753238,0.8526435822823006,0.15794842347498098,3.3092628068990592e-09,0.3309262806899059,1.095122032512544e-09,2.8093734932489194,0.0009013880922504721,0.19000000000000006,4.64935,geometric_occlusion,0.3050375
honeycomb_mesh,Ni63,20.0,2.0,100.0,2,0.75,2.5500660957241785,43.68956549138057,125556712396793.06,0.24719693747126648,0.08045533086779688,0.7826285756900456,0.09304127075112646,1.949357961474678e-09,0.1949357961474678,3.7999964619647126e-10,0.9748328512933153,0.0009202261197506523,0.12000000000000005,5.084606064347123,geometric_occlusion,0.5458086627322694
honeycomb_mesh,Ni63,20.0,6.0,25.0,1,0.75,2.0818545833333335,9.257708333333333,22602953125000.008,0.20209227008119499,0.07860829255164135,0.8493171879249546,0.22666638787767265,4.7490100279256885e-09,0.47490100279256886,2.255309624533875e-09,5.785663049530571,0.0008710862113891168,0.3262183928571429,4.1928625,graphene_diamond_interface,0.20209227008119499
honeycomb_mesh,Ni63,20.0,6.0,25.0,2,0.75,2.32423746819956,14.526901482599131,35228946781571.55,0.2127775541069595,0.0788366462238363,0.8159634573807323,0.19590538596421556,4.104519647486539e-09,0.4104519647486539,1.6847081536603022e-09,4.321869426637956,0.0008751120226997114,0.16137291617035854,4.381439259195275,graphene_diamond_interface,0.2127775541069595
