case_id,architecture,loss_channel,loss_fraction
22,composite_layer,interface:surface_recombination_velocity,7.597119394738221e-06
22,composite_layer,interface:composite_percolation_disorder,0.2
23,composite_layer,interface_losses,0.2985936583536447
23,composite_layer,bulk_recombination,0.989302222706216
23,composite_layer,trap_density,0.27888361678049634
23,composite_layer,carrier_mobility,0.1412646899038708
23,composite_layer,thermal_effects,0.0
23,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
23,composite_layer,interface:interface_trap_states,0.010059880239520959
23,composite_layer,interface:carrier_scattering,0.004
23,composite_layer,interface:contact_resistance,0.03210522081971587
23,composite_layer,interface:surface_recombination_velocity,7.439273483679153e-06
23,composite_layer,interface:composite_percolation_disorder,0.2
24,composite_layer,interface_losses,0.29859544725592335
24,composite_layer,bulk_recombination,0.9907400546506228
24,composite_layer,trap_density,0.27850266296869775
24,composite_layer,carrier_mobility,0.1518764234684585
24,composite_layer,thermal_effects,0.0
24,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
24,composite_layer,interface:interface_trap_states,0.010059880239520959
24,composite_layer,interface:carrier_scattering,0.004
24,composite_layer,interface:contact_resistance,0.03210522081971587
24,composite_layer,interface:surface_recombination_velocity,9.989705186886006e-06
24,composite_layer,interface:composite_percolation_disorder,0.2
25,composite_layer,interface_losses,0.15393660653803598
25,composite_layer,bulk_recombination,0.9924309327410612
25,composite_layer,trap_density,0.2774747271715849
25,composite_layer,carrier_mobility,0.16939153381630298
25,composite_layer,thermal_effects,0.0
25,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
25,composite_layer,interface:interface_trap_states,0.010059880239520959
25,composite_layer,interface:carrier_scattering,0.004
25,composite_layer,interface:contact_resistance,0.03210522081971587
25,composite_layer,interface:surface_recombination_velocity,1.690193750433574e-05
25,composite_layer,interface:composite_percolation_disorder,0.034999999999999996
26,composite_layer,interface_losses,0.1539384488799076
26,composite_layer,bulk_recombination,0.9995178626706909
26,composite_layer,trap_density,0.27715226853979513
26,composite_layer,carrier_mobility,0.25483473335379436
26,composite_layer,thermal_effects,0.0
26,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
26,composite_layer,interface:interface_trap_states,0.010059880239520959
26,composite_layer,interface:carrier_scattering,0.004
26,composite_layer,interface:contact_resistance,0.03210522081971587
26,composite_layer,interface:surface_recombination_velocity,1.9079446597271345e-05
26,composite_layer,interface:composite_percolation_disorder,0.034999999999999996
27,composite_layer,interface_losses,0.1539516387314801
27,composite_layer,bulk_recombination,0.9996090791509451
27,composite_layer,trap_density,0.2748625702150344
27,composite_layer,carrier_mobility,0.2760582004829697
27,composite_layer,thermal_effects,0.0
27,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
27,composite_layer,interface:interface_trap_states,0.010059880239520959
27,composite_layer,interface:carrier_scattering,0.004
27,composite_layer,interface:contact_resistance,0.03210522081971587
27,composite_layer,interface:surface_recombination_velocity,3.466885602030226e-05
27,composite_layer,interface:composite_percolation_disorder,0.034999999999999996
28,composite_layer,interface_losses,0.12323797181393237
28,composite_layer,bulk_recombination,0.24111882092564763
28,composite_layer,trap_density,0.2795846565410563
28,composite_layer,carrier_mobility,0.0
28,composite_layer,thermal_effects,0.0
28,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
28,composite_layer,interface:interface_trap_states,0.010059880239520959
28,composite_layer,interface:carrier_scattering,0.004
28,composite_layer,interface:contact_resistance,0.03210522081971587
28,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
28,composite_layer,interface:composite_percolation_disorder,0.0
29,composite_layer,interface_losses,0.2985916127134216
29,composite_layer,bulk_recombination,0.025500481691197008
29,composite_layer,trap_density,0.2793203553161498
29,composite_layer,carrier_mobility,0.0
29,composite_layer,thermal_effects,0.0
29,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
29,composite_layer,interface:interface_trap_states,0.010059880239520959
29,composite_layer,interface:carrier_scattering,0.004
29,composite_layer,interface:contact_resistance,0.03210522081971587
29,composite_layer,interface:surface_recombination_velocity,4.522811393740601e-06
29,composite_layer,interface:composite_percolation_disorder,0.2
30,composite_layer,interface_losses,0.1539281203476377
30,composite_layer,bulk_recombination,2.51687559682523e-13
30,composite_layer,trap_density,0.2789684874922038
30,composite_layer,carrier_mobility,0.0
30,composite_layer,thermal_effects,0.0
30,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
30,composite_layer,interface:interface_trap_states,0.010059880239520959
30,composite_layer,interface:carrier_scattering,0.004
30,composite_layer,interface:contact_resistance,0.03210522081971587
30,composite_layer,interface:surface_recombination_velocity,6.871900711817193e-06
30,composite_layer,interface:composite_percolation_disorder,0.034999999999999996
31,composite_layer,interface_losses,0.12323797181393237
31,composite_layer,bulk_recombination,0.24111882092564763
31,composite_layer,trap_density,0.2795846565410563
31,composite_layer,carrier_mobility,0.0
31,composite_layer,thermal_effects,0.0
31,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
31,composite_layer,interface:interface_trap_states,0.010059880239520959
31,composite_layer,interface:carrier_scattering,0.004
31,composite_layer,interface:contact_resistance,0.03210522081971587
31,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
31,composite_layer,interface:composite_percolation_disorder,0.0
32,composite_layer,interface_losses,0.2985938623550307
32,composite_layer,bulk_recombination,0.7481709471097031
32,composite_layer,trap_density,0.27884012813861014
32,composite_layer,carrier_mobility,0.06126468990387083
32,composite_layer,thermal_effects,0.0
32,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
32,composite_layer,interface:interface_trap_states,0.010059880239520959
32,composite_layer,interface:carrier_scattering,0.004
32,composite_layer,interface:contact_resistance,0.03210522081971587
32,composite_layer,interface:surface_recombination_velocity,7.73011754411491e-06
32,composite_layer,interface:composite_percolation_disorder,0.2
33,composite_layer,interface_losses,0.1539471636656028
33,composite_layer,bulk_recombination,0.7714050544174362
33,composite_layer,trap_density,0.27563573005254693
33,composite_layer,carrier_mobility,0.09483473335379435
33,composite_layer,thermal_effects,0.0
33,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
33,composite_layer,interface:interface_trap_states,0.010059880239520959
33,composite_layer,interface:carrier_scattering,0.004
33,composite_layer,interface:contact_resistance,0.03210522081971587
33,composite_layer,interface:surface_recombination_velocity,2.9379665783849213e-05
33,composite_layer,interface:composite_percolation_disorder,0.034999999999999996
34,composite_layer,interface_losses,0.12323797181393237
34,composite_layer,bulk_recombination,0.24111882092564763
34,composite_layer,trap_density,0.2795846565410563
34,composite_layer,carrier_mobility,0.0
34,composite_layer,thermal_effects,0.0
34,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
34,composite_layer,interface:interface_trap_states,0.010059880239520959
34,composite_layer,interface:carrier_scattering,0.004
34,composite_layer,interface:contact_resistance,0.03210522081971587
34,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
34,composite_layer,interface:composite_percolation_disorder,0.0
35,composite_layer,interface_losses,0.12323797181393237
35,composite_layer,bulk_recombination,0.24111882092564763
35,composite_layer,trap_density,0.2795846565410563
35,composite_layer,carrier_mobility,0.0
35,composite_layer,thermal_effects,0.0
35,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
35,composite_layer,interface:interface_trap_states,0.010059880239520959
35,composite_layer,interface:carrier_scattering,0.004
35,composite_layer,interface:contact_resistance,0.03210522081971587
